Cluster,mat_file_name,X_c,Y_c,lon_c,lat_c,road,suburb,city,county,state,postcode,site name
Cluster 20421,12_17__TMCMC_2000.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,12_17__TMCMC_2000_old.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,6.5_17.4__TMCMC_2000.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,6.5_17.4__TMCMC_2000_old.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,12_17__TMCMC_2000.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,12_17__TMCMC_2000_old.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,6.5_17.4__TMCMC_2000.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20421,6.5_17.4__TMCMC_2000_old.mat,1576646.677061823,5183845.029059908,172.711142,-43.49795665,Castletown Place,New Brighton,Christchurch,Christchurch City,Canterbury,8083,New Brighton_Castletown Place
Cluster 20458,0.6_3.4__TMCMC_2000.mat,1572076.1712695425,5177047.285289505,172.6542607750822,-43.55900737,Wilsons Road South,Saint Martins,Christchurch,Christchurch City,Canterbury,8023,Saint Martins_Wilsons Road South
Cluster 20584,6.9_10__TMCMC_2000.mat,1574988.1880031952,5181402.736255128,172.69051605136204,-43.51989377,Ottawa Road,Wainoni,Christchurch,Christchurch City,Canterbury,8061,Wainoni_Ottawa Road
Cluster 20603,2.6_5__TMCMC_2000.mat,1570183.290199332,5183652.773478827,172.63118708897053,-43.49945783,McFaddens Road,Saint Albans,Christchurch,Christchurch City,Canterbury,8052,Saint Albans_McFaddens Road
Cluster 20603,2.6_5__TMCMC_2000_old.mat,1570183.290199332,5183652.773478827,172.63118708897053,-43.49945783,McFaddens Road,Saint Albans,Christchurch,Christchurch City,Canterbury,8052,Saint Albans_McFaddens Road
Cluster 20603,2.6_5__TMCMC_2000.mat,1570183.290199332,5183652.773478827,172.63118708897053,-43.49945783,McFaddens Road,Saint Albans,Christchurch,Christchurch City,Canterbury,8052,Saint Albans_McFaddens Road
Cluster 20603,2.6_5__TMCMC_2000_old.mat,1570183.290199332,5183652.773478827,172.63118708897053,-43.49945783,McFaddens Road,Saint Albans,Christchurch,Christchurch City,Canterbury,8052,Saint Albans_McFaddens Road
Cluster 20694,10.4_13__TMCMC_2000.mat,1578925.6404071823,5179571.693219201,172.73916458682822,-43.53650227,Cradock Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Cradock Street
Cluster 20694,10.4_13__TMCMC_2000_old.mat,1578925.6404071823,5179571.693219201,172.73916458682822,-43.53650227,Cradock Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Cradock Street
Cluster 20694,10.4_13__TMCMC_2000.mat,1578925.6404071823,5179571.693219201,172.73916458682822,-43.53650227,Cradock Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Cradock Street
Cluster 20694,10.4_13__TMCMC_2000_old.mat,1578925.6404071823,5179571.693219201,172.73916458682822,-43.53650227,Cradock Street,South New Brighton,Christchurch,Christchurch City,Canterbury,8062,South New Brighton_Cradock Street
Cluster 20726,1.4_2.8__TMCMC_2000.mat,1570665.8727527289,5179796.032025841,172.63694805538304,-43.53420339,Lichfield Street,Central City,Christchurch,Christchurch City,Canterbury,8011,Central City_Lichfield Street
Cluster 20912,4_5.5__TMCMC_2000.mat,1879652.028909091,5819716.587818182,176.1730667817806,-37.72714884,Welcome Bay Link Road,Hairini,Tauranga,Tauranga City,Bay of Plenty,3112,Hairini_Welcome Bay Link Road
Cluster 20912,4_5.5__TMCMC_2000_old.mat,1879652.028909091,5819716.587818182,176.1730667817806,-37.72714884,Welcome Bay Link Road,Hairini,Tauranga,Tauranga City,Bay of Plenty,3112,Hairini_Welcome Bay Link Road
